1.200139	-344.265363128492	1.200162	-446.443910614525	1.200137	-20.3701224944321	1.200139	-0.046098104793757	
1.180117	-333.504581005587	1.180123	-298.805251396648	1.180113	-13.6101002227171	1.180119	-0.0457302118171683	
1.160129	-323.803910614525	1.160133	-240.238882681564	1.160126	-14.5628173719376	1.160133	-0.0455295429208473	
1.140117	-314.534189944134	1.140119	-200.914525139665	1.140113	-7.45213808463252	1.14012	-0.0452954292084727	
1.120096	-305.619106145251	1.120096	-170.031843575419	1.120091	-5.15286191536748	1.120098	-0.0449609810479376	
1.100078	-297.050837988827	1.100076	-143.493854748603	1.100075	-1.15218262806236	1.100081	-0.0448829431438127	
1.080061	-288.834860335196	1.080061	-120.04469273743	1.080055	0.199231625835189	1.080064	-0.044860646599777	
1.060063	-280.969273743017	1.060067	-44.3697877094972	1.060057	5.24114699331848	1.060067	-0.0448494983277592	
1.0401	-273.38905027933	1.040104	-38.5852625698324	1.040096	5.12075723830735	1.040104	-0.0448494983277592	
1.020102	-266.124581005587	1.020104	-31.8411284916201	1.020104	12.4236525612472	1.020106	-0.0446042363433668	
1.000111	-259.161117318436	1.000114	-24.9929608938548	1.000105	13.4882293986637	1.000116	-0.044314381270903	
0.9801154	-252.416424581006	0.9801145	-18.2844357541899	0.9801093	13.9827394209354	0.9801173	-0.0442363433667781	
0.9601173	-245.918770949721	0.9601161	-11.8436312849162	0.9601093	14.8781514476615	0.9601222	-0.0443366778149387	
0.9401387	-239.616648044693	0.9401391	-1.35442458100559	0.9401349	15.8264142538976	0.9401449	-0.0442920847268673	
0.920117	-233.46748603352	0.9201171	-0.0156759776536313	0.9201121	16.626570155902	0.9201201	-0.0439910813823857	
0.9000936	-227.48469273743	0.9000933	-0.000815642458100559	0.9000876	17.3010356347439	0.9000984	-0.043768115942029	
0.8800792	-221.583016759777	0.8800768	0.000536312849162011	0.8800733	17.8362249443207	0.8800839	-0.0437235228539576	
0.8600585	-215.747709497207	0.8600544	0.00196648044692737	0.8600523	18.3349665924276	0.8600617	-0.043701226309922	
0.8400331	-210.031620111732	0.8400275	0.00344134078212291	0.8400295	18.7564587973274	0.8400375	-0.0435674470457079	
0.8200438	-204.356648044693	0.8200361	0.00494972067039106	0.8200391	19.0686636971047	0.820049	-0.0434559643255295	
0.8000372	-198.702905027933	0.8000283	0.00646927374301676	0.8000331	19.311280623608	0.8000423	-0.0433779264214047	
0.7800432	-193.093854748603	0.7800325	0.00802234636871508	0.7800375	19.6161469933185	0.7800482	-0.0432664437012263	
0.7600508	-187.502011173184	0.7600383	0.00958659217877095	0.7600462	19.8657795100223	0.7600558	-0.0431995540691193	
0.7400633	-181.910391061453	0.7438803	0.0109385474860335	0.7400591	20.0555345211581	0.7400681	-0.0430100334448161	
0.7201021	-176.335642458101	0.7200879	9.69912849162011	0.720098	20.1731848552338	0.7201079	-0.0428428093645485	
0.7001087	-170.849497206704	0.7014532	10.7953854748603	0.7001033	20.2352004454343	0.7001136	-0.0427536231884058	
0.6801135	-165.324581005587	0.6801088	21.0963016759777	0.6801074	20.4383407572383	0.6801177	-0.0426421404682274	
0.6600968	-159.777094972067	0.6600921	21.1204581005587	0.6600924	20.5729844097996	0.6601002	-0.0425195094760312	
0.6400756	-154.251284916201	0.640072	21.1711173184358	0.6400712	20.6285300668151	0.6400807	-0.0424972129319955	
0.6200541	-148.756648044693	0.6200475	21.271061452514	0.6200468	20.6487861915368	0.6200574	-0.0422742474916388	
0.6000707	-143.313072625698	0.6000661	21.2915418994413	0.6000674	20.667438752784	0.600075	-0.0418840579710145	
0.5800493	-137.851955307263	0.5800447	21.3484134078212	0.580044	20.69	0.5800543	-0.0416945373467113	
0.5600265	-132.244804469274	0.5600212	21.3523351955307	0.5600222	20.7667706013363	0.5600311	-0.0415942028985507	
0.5400004	-126.683687150838	0.5399956	21.268905027933	0.5399964	20.8546659242762	0.5400056	-0.0413266443701226	
